Testbild Nr. 1: JA, Label = 7, Vorhersage: 7, Fehler: 5.15431e-36
Testbild Nr. 90: JA, Label = 1, Vorhersage: 1, Fehler: 1.82786e-24
Testbild Nr. 91: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.997674
Testbild Nr. 92: JA, Label = 6, Vorhersage: 6, Fehler: 1.0573e-30
Testbild Nr. 93: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.495515
Testbild Nr. 94: JA, Label = 3, Vorhersage: 3, Fehler: 9.58331e-27
Testbild Nr. 95: JA, Label = 1, Vorhersage: 1, Fehler: 5.36328e-27
Testbild Nr. 96: JA, Label = 4, Vorhersage: 4, Fehler: 0.499951
Testbild Nr. 97: JA, Label = 1, Vorhersage: 1, Fehler: 3.24367e-25
Testbild Nr. 98: NEIN, Label = 7, Vorhersage: 4, Fehler: 0.532369
Testbild Nr. 99: JA, Label = 6, Vorhersage: 6, Fehler: 0.499774
Testbild Nr. 100: JA, Label = 9, Vorhersage: 9, Fehler: 1.52219e-11
Testbild Nr. 101: JA, Label = 6, Vorhersage: 6, Fehler: 1.63745e-31
Testbild Nr. 102: JA, Label = 0, Vorhersage: 0, Fehler: 1.4979e-26
Testbild Nr. 103: JA, Label = 5, Vorhersage: 5, Fehler: 2.97863e-29
Testbild Nr. 104: JA, Label = 4, Vorhersage: 4, Fehler: 6.87562e-45
Testbild Nr. 105: JA, Label = 9, Vorhersage: 9, Fehler: 0.487875
Testbild Nr. 106: JA, Label = 9, Vorhersage: 9, Fehler: 5.00332e-22
Testbild Nr. 107: JA, Label = 2, Vorhersage: 2, Fehler: 2.86233e-14
Testbild Nr. 108: JA, Label = 1, Vorhersage: 1, Fehler: 0.0640941
Testbild Nr. 109: JA, Label = 9, Vorhersage: 9, Fehler: 2.40012e-05
Testbild Nr. 110: JA, Label = 4, Vorhersage: 4, Fehler: 8.05599e-35
Testbild Nr. 111: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 112: JA, Label = 7, Vorhersage: 7, Fehler: 3.58407e-19
Testbild Nr. 113: JA, Label = 3, Vorhersage: 3, Fehler: 0.499203
Testbild Nr. 114: JA, Label = 9, Vorhersage: 9, Fehler: 1.90447e-14
Testbild Nr. 115: JA, Label = 7, Vorhersage: 7, Fehler: 3.78214e-19
Testbild Nr. 116: JA, Label = 4, Vorhersage: 4, Fehler: 2.76929e-15
Testbild Nr. 117: JA, Label = 4, Vorhersage: 4, Fehler: 3.28578e-22
Testbild Nr. 118: JA, Label = 4, Vorhersage: 4, Fehler: 1.03288e-24
Testbild Nr. 119: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.999943
Testbild Nr. 120: NEIN, Label = 2, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 121: JA, Label = 5, Vorhersage: 5, Fehler: 6.21243e-27
Testbild Nr. 122: NEIN, Label = 4, Vorhersage: 6, Fehler: 0.5
Testbild Nr. 123: JA, Label = 7, Vorhersage: 7, Fehler: 1.40315e-39
Testbild Nr. 124: JA, Label = 6, Vorhersage: 6, Fehler: 4.56536e-25
Testbild Nr. 125: JA, Label = 7, Vorhersage: 7, Fehler: 0.000235559
Testbild Nr. 126: NEIN, Label = 9, Vorhersage: 2, Fehler: 0.497541
Testbild Nr. 127: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.949056
Testbild Nr. 128: JA, Label = 5, Vorhersage: 5, Fehler: 6.64492e-38
Testbild Nr. 129: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.99991
Testbild Nr. 130: JA, Label = 5, Vorhersage: 5, Fehler: 6.7923e-21
Testbild Nr. 131: JA, Label = 6, Vorhersage: 6, Fehler: 2.57027e-26
Testbild Nr. 132: JA, Label = 6, Vorhersage: 6, Fehler: 9.0927e-07
Testbild Nr. 133: JA, Label = 5, Vorhersage: 5, Fehler: 2.20732e-27
Testbild Nr. 134: JA, Label = 7, Vorhersage: 7, Fehler: 0.316123
Testbild Nr. 135: JA, Label = 8, Vorhersage: 8, Fehler: 2.05771e-10
Testbild Nr. 136: JA, Label = 1, Vorhersage: 1, Fehler: 1.14971e-14
Testbild Nr. 137: JA, Label = 0, Vorhersage: 0, Fehler: 0.5
Testbild Nr. 138: JA, Label = 1, Vorhersage: 1, Fehler: 6.96281e-48
Testbild Nr. 139: JA, Label = 6, Vorhersage: 6, Fehler: 1.158e-10
Testbild Nr. 140: JA, Label = 4, Vorhersage: 4, Fehler: 7.66904e-36
Testbild Nr. 141: JA, Label = 6, Vorhersage: 6, Fehler: 9.11172e-27
Testbild Nr. 142: JA, Label = 7, Vorhersage: 7, Fehler: 5.15526e-23
Testbild Nr. 143: JA, Label = 3, Vorhersage: 3, Fehler: 0.0018801
Testbild Nr. 144: JA, Label = 1, Vorhersage: 1, Fehler: 7.71552e-16
Testbild Nr. 145: JA, Label = 7, Vorhersage: 7, Fehler: 1.99836e-14
Testbild Nr. 146: JA, Label = 1, Vorhersage: 1, Fehler: 3.24387e-23
Testbild Nr. 147: JA, Label = 8, Vorhersage: 8, Fehler: 5.6593e-13
Testbild Nr. 148: JA, Label = 2, Vorhersage: 2, Fehler: 1.49448e-18
Testbild Nr. 149: JA, Label = 0, Vorhersage: 0, Fehler: 4.53241e-22
Testbild Nr. 150: JA, Label = 2, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 151: NEIN, Label = 9, Vorhersage: 4, Fehler: 1
Testbild Nr. 152: NEIN, Label = 9, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 153: JA, Label = 5, Vorhersage: 5, Fehler: 4.70257e-12
Testbild Nr. 154: JA, Label = 5, Vorhersage: 5, Fehler: 5.68016e-39
Testbild Nr. 155: JA, Label = 1, Vorhersage: 1, Fehler: 1.88842e-23
Testbild Nr. 156: JA, Label = 5, Vorhersage: 5, Fehler: 2.56354e-20
Testbild Nr. 157: JA, Label = 6, Vorhersage: 6, Fehler: 0.0649377
Testbild Nr. 158: JA, Label = 0, Vorhersage: 0, Fehler: 1.98612e-08
Testbild Nr. 159: JA, Label = 3, Vorhersage: 3, Fehler: 0.377
Testbild Nr. 160: JA, Label = 4, Vorhersage: 4, Fehler: 0.484851
Testbild Nr. 161: JA, Label = 4, Vorhersage: 4, Fehler: 3.87934e-22
Testbild Nr. 162: JA, Label = 6, Vorhersage: 6, Fehler: 6.8776e-18
Testbild Nr. 163: JA, Label = 5, Vorhersage: 5, Fehler: 1.83476e-39
Testbild Nr. 164: JA, Label = 4, Vorhersage: 4, Fehler: 5.41399e-10
Testbild Nr. 165: JA, Label = 6, Vorhersage: 6, Fehler: 0.498167
Testbild Nr. 166: JA, Label = 5, Vorhersage: 5, Fehler: 1.64448e-26
Testbild Nr. 167: JA, Label = 4, Vorhersage: 4, Fehler: 1.78291e-07
Testbild Nr. 168: JA, Label = 5, Vorhersage: 5, Fehler: 3.45897e-19
Testbild Nr. 169: JA, Label = 1, Vorhersage: 1, Fehler: 3.59332e-27
Testbild Nr. 170: JA, Label = 4, Vorhersage: 4, Fehler: 2.2785e-18
Testbild Nr. 171: JA, Label = 4, Vorhersage: 4, Fehler: 7.49743e-09
Testbild Nr. 172: JA, Label = 7, Vorhersage: 7, Fehler: 1.26991e-09
Testbild Nr. 173: NEIN, Label = 2, Vorhersage: 5, Fehler: 0.500002
Testbild Nr. 174: JA, Label = 3, Vorhersage: 3, Fehler: 0.499996
Testbild Nr. 175: JA, Label = 2, Vorhersage: 2, Fehler: 2.62515e-32
Testbild Nr. 176: JA, Label = 7, Vorhersage: 7, Fehler: 0.359427
Testbild Nr. 177: JA, Label = 1, Vorhersage: 1, Fehler: 9.68792e-26
Testbild Nr. 178: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 179: JA, Label = 1, Vorhersage: 1, Fehler: 2.18355e-42
Testbild Nr. 180: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 181: JA, Label = 1, Vorhersage: 1, Fehler: 0.0263023
Testbild Nr. 182: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.500696
Testbild Nr. 183: JA, Label = 5, Vorhersage: 5, Fehler: 0.0011938
Testbild Nr. 184: JA, Label = 0, Vorhersage: 0, Fehler: 0.5
Testbild Nr. 185: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.785878
Testbild Nr. 186: JA, Label = 9, Vorhersage: 9, Fehler: 7.68404e-09
Testbild Nr. 187: JA, Label = 2, Vorhersage: 2, Fehler: 0.179375
Testbild Nr. 188: JA, Label = 5, Vorhersage: 5, Fehler: 6.18597e-32
Testbild Nr. 189: JA, Label = 0, Vorhersage: 0, Fehler: 0.495097
Testbild Nr. 190: JA, Label = 1, Vorhersage: 1, Fehler: 2.06837e-15
Testbild Nr. 191: JA, Label = 1, Vorhersage: 1, Fehler: 1.5415e-20
Testbild Nr. 192: JA, Label = 1, Vorhersage: 1, Fehler: 4.7709e-21
Testbild Nr. 193: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.499987
Testbild Nr. 194: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.5
Testbild Nr. 195: JA, Label = 0, Vorhersage: 0, Fehler: 0.478339
Testbild Nr. 196: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.999997
Testbild Nr. 197: JA, Label = 1, Vorhersage: 1, Fehler: 7.47024e-20
Testbild Nr. 198: JA, Label = 6, Vorhersage: 6, Fehler: 2.12472e-22
Testbild Nr. 199: JA, Label = 4, Vorhersage: 4, Fehler: 4.01129e-11
Testbild Nr. 200: JA, Label = 2, Vorhersage: 2, Fehler: 4.54489e-05
Testbild Nr. 201: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.500045
Testbild Nr. 202: JA, Label = 6, Vorhersage: 6, Fehler: 2.42381e-22
Testbild Nr. 203: JA, Label = 1, Vorhersage: 1, Fehler: 5.66404e-26
Testbild Nr. 204: JA, Label = 1, Vorhersage: 1, Fehler: 9.44239e-18
Testbild Nr. 205: JA, Label = 1, Vorhersage: 1, Fehler: 4.35284e-43
Testbild Nr. 206: JA, Label = 3, Vorhersage: 3, Fehler: 2.64061e-18
Testbild Nr. 207: JA, Label = 9, Vorhersage: 9, Fehler: 3.21769e-14
Testbild Nr. 208: JA, Label = 5, Vorhersage: 5, Fehler: 4.68186e-33
Testbild Nr. 209: JA, Label = 2, Vorhersage: 2, Fehler: 5.00079e-43
Testbild Nr. 210: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.993937
Testbild Nr. 211: JA, Label = 4, Vorhersage: 4, Fehler: 5.77282e-08
Testbild Nr. 212: NEIN, Label = 5, Vorhersage: 7, Fehler: 0.999521
Testbild Nr. 213: JA, Label = 9, Vorhersage: 9, Fehler: 4.15724e-16
Testbild Nr. 214: JA, Label = 3, Vorhersage: 3, Fehler: 4.28834e-21
Testbild Nr. 215: JA, Label = 9, Vorhersage: 9, Fehler: 0.144395
Testbild Nr. 216: JA, Label = 0, Vorhersage: 0, Fehler: 0.496172
Testbild Nr. 217: JA, Label = 3, Vorhersage: 3, Fehler: 1.84366e-35
Testbild Nr. 218: NEIN, Label = 6, Vorhersage: 5, Fehler: 1
Testbild Nr. 219: JA, Label = 5, Vorhersage: 5, Fehler: 0.00215872
Testbild Nr. 220: JA, Label = 5, Vorhersage: 5, Fehler: 4.73818e-46
Testbild Nr. 221: JA, Label = 7, Vorhersage: 7, Fehler: 2.55756e-18
Testbild Nr. 222: JA, Label = 2, Vorhersage: 2, Fehler: 2.81914e-19
Testbild Nr. 223: JA, Label = 2, Vorhersage: 2, Fehler: 0.000174178
Testbild Nr. 224: JA, Label = 7, Vorhersage: 7, Fehler: 1.10326e-47
Testbild Nr. 225: JA, Label = 1, Vorhersage: 1, Fehler: 2.34888e-09
Testbild Nr. 226: JA, Label = 2, Vorhersage: 2, Fehler: 0.00718765
Testbild Nr. 227: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.599338
Testbild Nr. 228: JA, Label = 4, Vorhersage: 4, Fehler: 6.12395e-47
Testbild Nr. 229: JA, Label = 1, Vorhersage: 1, Fehler: 3.68307e-31
Testbild Nr. 230: JA, Label = 7, Vorhersage: 7, Fehler: 8.04483e-31
Testbild Nr. 231: JA, Label = 3, Vorhersage: 3, Fehler: 1.34691e-16
Testbild Nr. 232: JA, Label = 3, Vorhersage: 3, Fehler: 0.000448437
Testbild Nr. 233: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 234: NEIN, Label = 8, Vorhersage: 7, Fehler: 1
Testbild Nr. 235: JA, Label = 7, Vorhersage: 7, Fehler: 3.80139e-12
Testbild Nr. 236: JA, Label = 9, Vorhersage: 9, Fehler: 3.11595e-05
Testbild Nr. 237: JA, Label = 2, Vorhersage: 2, Fehler: 8.22132e-38
Testbild Nr. 238: JA, Label = 2, Vorhersage: 2, Fehler: 2.52018e-06
Testbild Nr. 239: JA, Label = 4, Vorhersage: 4, Fehler: 1.13511e-31
Testbild Nr. 240: JA, Label = 1, Vorhersage: 1, Fehler: 1.98258e-21
Testbild Nr. 241: JA, Label = 5, Vorhersage: 5, Fehler: 2.5955e-09
Testbild Nr. 242: NEIN, Label = 9, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 243: NEIN, Label = 8, Vorhersage: 9, Fehler: 0.500005
Testbild Nr. 244: JA, Label = 7, Vorhersage: 7, Fehler: 1.08784e-14
Testbild Nr. 245: JA, Label = 2, Vorhersage: 2, Fehler: 0.300754
Testbild Nr. 246: NEIN, Label = 3, Vorhersage: 5, Fehler: 1
Testbild Nr. 247: JA, Label = 0, Vorhersage: 0, Fehler: 6.57276e-12
Testbild Nr. 248: NEIN, Label = 4, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 249: JA, Label = 4, Vorhersage: 4, Fehler: 1.63049e-06
Testbild Nr. 250: JA, Label = 2, Vorhersage: 2, Fehler: 1.39262e-09
Testbild Nr. 251: JA, Label = 4, Vorhersage: 4, Fehler: 0.5
Testbild Nr. 252: JA, Label = 1, Vorhersage: 1, Fehler: 0.0175572
Testbild Nr. 253: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.500005
Testbild Nr. 254: JA, Label = 5, Vorhersage: 5, Fehler: 3.34862e-23
Testbild Nr. 255: JA, Label = 7, Vorhersage: 7, Fehler: 8.39016e-20
Testbild Nr. 256: JA, Label = 7, Vorhersage: 7, Fehler: 2.34398e-20
Testbild Nr. 257: JA, Label = 2, Vorhersage: 2, Fehler: 1.06827e-12
Testbild Nr. 258: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.794562
Testbild Nr. 259: JA, Label = 2, Vorhersage: 2, Fehler: 8.0784e-26
Testbild Nr. 260: NEIN, Label = 6, Vorhersage: 0, Fehler: 1
Testbild Nr. 261: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.548612
Testbild Nr. 262: JA, Label = 5, Vorhersage: 5, Fehler: 3.02412e-19
Testbild Nr. 263: JA, Label = 7, Vorhersage: 7, Fehler: 0.335962
Testbild Nr. 264: JA, Label = 7, Vorhersage: 7, Fehler: 8.1833e-41
Testbild Nr. 265: JA, Label = 9, Vorhersage: 9, Fehler: 1.76149e-11
Testbild Nr. 266: JA, Label = 1, Vorhersage: 1, Fehler: 1.75872e-16
Testbild Nr. 267: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.999723
Testbild Nr. 268: JA, Label = 1, Vorhersage: 1, Fehler: 4.56394e-09
Testbild Nr. 269: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.500543
Testbild Nr. 270: JA, Label = 0, Vorhersage: 0, Fehler: 0.0131942
Testbild Nr. 271: JA, Label = 3, Vorhersage: 3, Fehler: 7.9193e-06
Testbild Nr. 272: JA, Label = 0, Vorhersage: 0, Fehler: 4.70065e-06
Testbild Nr. 273: JA, Label = 1, Vorhersage: 1, Fehler: 1.81907e-24
Testbild Nr. 274: JA, Label = 9, Vorhersage: 9, Fehler: 1.29821e-07
Testbild Nr. 275: JA, Label = 9, Vorhersage: 9, Fehler: 2.59586e-19
Testbild Nr. 276: JA, Label = 4, Vorhersage: 4, Fehler: 2.0326e-06
Testbild Nr. 277: JA, Label = 1, Vorhersage: 1, Fehler: 1.86083e-14
Testbild Nr. 278: NEIN, Label = 8, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 279: JA, Label = 2, Vorhersage: 2, Fehler: 6.15886e-38
Testbild Nr. 280: JA, Label = 1, Vorhersage: 1, Fehler: 1.92383e-23
Testbild Nr. 281: JA, Label = 2, Vorhersage: 2, Fehler: 0.232188
Testbild Nr. 282: JA, Label = 9, Vorhersage: 9, Fehler: 0.499958
Testbild Nr. 283: JA, Label = 7, Vorhersage: 7, Fehler: 2.858e-13
Testbild Nr. 284: JA, Label = 5, Vorhersage: 5, Fehler: 9.74039e-29
Testbild Nr. 285: JA, Label = 9, Vorhersage: 9, Fehler: 1.40014e-11
Testbild Nr. 286: JA, Label = 2, Vorhersage: 2, Fehler: 8.95764e-10
Testbild Nr. 287: JA, Label = 6, Vorhersage: 6, Fehler: 0.0201228
Testbild Nr. 288: JA, Label = 4, Vorhersage: 4, Fehler: 2.95043e-26
Testbild Nr. 289: JA, Label = 1, Vorhersage: 1, Fehler: 3.89509e-26
Testbild Nr. 290: JA, Label = 5, Vorhersage: 5, Fehler: 2.24191e-25
Testbild Nr. 291: NEIN, Label = 8, Vorhersage: 4, Fehler: 0.899334
Testbild Nr. 292: NEIN, Label = 2, Vorhersage: 5, Fehler: 1
Testbild Nr. 293: NEIN, Label = 9, Vorhersage: 7, Fehler: 0.50046
Testbild Nr. 294: JA, Label = 2, Vorhersage: 2, Fehler: 4.11372e-16
Testbild Nr. 295: NEIN, Label = 0, Vorhersage: 5, Fehler: 1
Testbild Nr. 296: JA, Label = 4, Vorhersage: 4, Fehler: 3.75618e-20
Testbild Nr. 297: JA, Label = 0, Vorhersage: 0, Fehler: 0.498555
Testbild Nr. 298: JA, Label = 0, Vorhersage: 0, Fehler: 0.5
Testbild Nr. 299: JA, Label = 2, Vorhersage: 2, Fehler: 7.29052e-11
Testbild Nr. 300: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.500653
Testbild Nr. 301: NEIN, Label = 4, Vorhersage: 1, Fehler: 0.500507
Testbild Nr. 302: JA, Label = 7, Vorhersage: 7, Fehler: 3.53685e-19
Testbild Nr. 303: JA, Label = 1, Vorhersage: 1, Fehler: 1.7138e-39
Testbild Nr. 304: JA, Label = 2, Vorhersage: 2, Fehler: 1.38517e-21
Testbild Nr. 305: JA, Label = 4, Vorhersage: 4, Fehler: 6.45212e-11
Testbild Nr. 306: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.499341
Testbild Nr. 307: JA, Label = 2, Vorhersage: 2, Fehler: 8.70511e-13
Testbild Nr. 308: JA, Label = 7, Vorhersage: 7, Fehler: 1.78656e-09
Testbild Nr. 309: JA, Label = 4, Vorhersage: 4, Fehler: 2.7884e-32
Testbild Nr. 310: JA, Label = 3, Vorhersage: 3, Fehler: 1.8204e-10
Testbild Nr. 311: JA, Label = 3, Vorhersage: 3, Fehler: 0.499967
Testbild Nr. 312: JA, Label = 0, Vorhersage: 0, Fehler: 1.70323e-14
Testbild Nr. 313: JA, Label = 0, Vorhersage: 0, Fehler: 3.65392e-13
Testbild Nr. 314: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.950986
Testbild Nr. 315: JA, Label = 1, Vorhersage: 1, Fehler: 2.30475e-32
Testbild Nr. 316: JA, Label = 9, Vorhersage: 9, Fehler: 0.00219185
Testbild Nr. 317: JA, Label = 6, Vorhersage: 6, Fehler: 8.29878e-21
Testbild Nr. 318: JA, Label = 5, Vorhersage: 5, Fehler: 6.04983e-07
Testbild Nr. 319: NEIN, Label = 2, Vorhersage: 3, Fehler: 1
Testbild Nr. 320: JA, Label = 5, Vorhersage: 5, Fehler: 3.70917e-25
Testbild Nr. 321: NEIN, Label = 9, Vorhersage: 7, Fehler: 1
Testbild Nr. 322: NEIN, Label = 2, Vorhersage: 7, Fehler: 0.999086
Testbild Nr. 323: JA, Label = 9, Vorhersage: 9, Fehler: 6.06414e-07
